                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                0.63235,                0.52279,                 1.0841,                0.93331,                0.91455,                0.95686,                0.73478,                0.94934,                0.56407,                 1.3575,             0.00047856,             0.00047856,             0.00047856
                    117,                0.58155,                0.46851,                 1.0623,                0.96564,                0.90727,                0.95631,                 0.7411,                 0.9583,                0.54003,                 1.3458,             0.00047306,             0.00047306,             0.00047306
                    118,                0.58485,                 0.4845,                 1.0594,                0.94785,                0.91414,                0.95714,                0.73936,                0.92826,                0.52628,                 1.3518,             0.00046756,             0.00046756,             0.00046756
                    119,                0.58823,                0.50573,                 1.0575,                0.95904,                0.89223,                0.94492,                0.73372,                0.90112,                0.56486,                 1.3332,             0.00046206,             0.00046206,             0.00046206
                    120,                0.57745,                0.48139,                 1.0611,                0.93213,                0.90427,                0.94318,                0.73918,                0.91796,                0.62853,                 1.3309,             0.00045657,             0.00045657,             0.00045657
                    121,                0.59532,                0.49184,                  1.067,                 0.9226,                0.90028,                0.94386,                0.74334,                0.89291,                0.57656,                 1.3206,             0.00045107,             0.00045107,             0.00045107
                    122,                0.58103,                0.47875,                 1.0621,                0.94501,                0.90704,                 0.9518,                0.75029,                0.92494,                 0.5504,                 1.3315,             0.00044557,             0.00044557,             0.00044557
                    123,                0.57804,                0.49492,                 1.0691,                0.93428,                0.86968,                0.94605,                0.73109,                0.89552,                0.57193,                 1.3076,             0.00044007,             0.00044007,             0.00044007
                    124,                0.59232,                0.50535,                 1.0698,                0.91699,                0.90952,                0.94512,                0.72196,                0.93529,                0.54936,                 1.3524,             0.00043457,             0.00043457,             0.00043457
                    125,                0.57134,                0.49481,                 1.0588,                0.92018,                0.90978,                0.95296,                0.73205,                0.88568,                0.52144,                  1.331,             0.00042907,             0.00042907,             0.00042907
                    126,                0.59697,                0.50169,                 1.0665,                0.96181,                0.88042,                0.95145,                0.75289,                0.86009,                 0.5437,                 1.3047,             0.00042357,             0.00042357,             0.00042357
                    127,                0.59381,                0.48794,                  1.063,                0.95011,                0.89993,                0.95833,                0.75827,                0.89696,                0.51999,                 1.3136,             0.00041807,             0.00041807,             0.00041807
                    128,                0.57624,                0.48808,                 1.0599,                0.96504,                0.91573,                 0.9603,                0.75669,                0.90002,                 0.5365,                 1.3192,             0.00041257,             0.00041257,             0.00041257
                    129,                0.60441,                0.51596,                 1.0664,                0.95003,                0.91854,                0.95833,                0.75904,                0.89844,                0.50414,                  1.319,             0.00040707,             0.00040707,             0.00040707
                    130,                0.57972,                 0.4909,                 1.0612,                0.93443,                0.87848,                0.92823,                0.72372,                0.91559,                0.57356,                  1.351,             0.00040157,             0.00040157,             0.00040157
                    131,                0.57308,                0.46737,                 1.0518,                0.96834,                0.88792,                0.93338,                 0.7231,                0.92425,                0.56393,                 1.3472,             0.00039607,             0.00039607,             0.00039607
                    132,                0.55794,                0.45365,                 1.0443,                0.95866,                0.90665,                0.95369,                0.74491,                0.89654,                0.53805,                 1.3426,             0.00039057,             0.00039057,             0.00039057
                    133,                0.57778,                0.49112,                  1.062,                0.96125,                0.89309,                0.95354,                0.74828,                 0.8701,                0.55704,                  1.303,             0.00038507,             0.00038507,             0.00038507
                    134,                0.57686,                0.49155,                  1.057,                0.94479,                0.89873,                0.95354,                0.73997,                0.90257,                0.61615,                 1.3311,             0.00037957,             0.00037957,             0.00037957
                    135,                0.56867,                0.50011,                 1.0434,                0.90358,                0.90246,                0.93909,                0.73806,                0.86684,                0.58907,                 1.3146,             0.00037407,             0.00037407,             0.00037407
                    136,                0.58097,                 0.5124,                 1.0606,                0.95158,                0.88998,                0.94495,                0.73907,                0.91609,                0.57351,                 1.3605,             0.00036857,             0.00036857,             0.00036857
                    137,                0.55364,                0.45756,                 1.0418,                0.93637,                0.89614,                0.93716,                0.71623,                0.92464,                0.56083,                 1.3958,             0.00036307,             0.00036307,             0.00036307
                    138,                0.56029,                0.47045,                 1.0523,                0.95494,                0.88868,                0.94125,                0.73428,                0.91947,                0.58799,                 1.3679,             0.00035758,             0.00035758,             0.00035758
                    139,                0.53562,                 0.4606,                  1.034,                0.93426,                0.92182,                0.95572,                0.74268,                 0.8976,                0.55095,                 1.3334,             0.00035208,             0.00035208,             0.00035208
                    140,                0.55629,                0.45196,                 1.0517,                0.93222,                0.91643,                0.95404,                 0.7466,                0.89547,                0.49916,                 1.3306,             0.00034658,             0.00034658,             0.00034658
                    141,                0.54562,                 0.4673,                  1.039,                0.92432,                0.88409,                0.93434,                0.73058,                0.90588,                0.53464,                 1.3442,             0.00034108,             0.00034108,             0.00034108
                    142,                0.56573,                0.48185,                 1.0494,                0.93883,                0.90419,                0.94639,                 0.7422,                 0.8773,                0.51941,                 1.3376,             0.00033558,             0.00033558,             0.00033558
                    143,                0.57467,                0.47942,                  1.049,                0.95041,                0.90247,                0.94232,                0.73968,                0.88992,                0.52365,                 1.3536,             0.00033008,             0.00033008,             0.00033008
                    144,                0.56292,                0.47341,                 1.0425,                0.94787,                0.88758,                0.94066,                0.74895,                0.90437,                0.56958,                 1.3675,             0.00032458,             0.00032458,             0.00032458
                    145,                0.54311,                 0.4603,                 1.0446,                0.95264,                0.89225,                0.94538,                 0.7509,                0.90894,                0.54517,                 1.3514,             0.00031908,             0.00031908,             0.00031908
                    146,                0.55648,                0.46126,                 1.0538,                0.94072,                0.91216,                0.94112,                 0.7364,                0.90857,                0.52299,                 1.3665,             0.00031358,             0.00031358,             0.00031358
                    147,                0.54159,                0.44674,                 1.0398,                0.95622,                0.88035,                0.94291,                0.74528,                0.89364,                  0.569,                 1.3536,             0.00030808,             0.00030808,             0.00030808
                    148,                0.55683,                 0.4925,                 1.0688,                 0.9474,                0.90102,                0.95359,                0.75258,                 0.8731,                0.55258,                  1.332,             0.00030258,             0.00030258,             0.00030258
                    149,                0.55355,                 0.4626,                 1.0509,                0.92513,                0.91384,                0.95111,                0.74337,                 0.9107,                0.57942,                 1.3625,             0.00029708,             0.00029708,             0.00029708
                    150,                0.55441,                0.46516,                 1.0472,                0.92466,                0.90859,                0.94288,                0.75118,                0.86987,                0.58647,                 1.3454,             0.00029158,             0.00029158,             0.00029158
                    151,                0.54856,                0.46732,                 1.0494,                0.95028,                0.89053,                0.93838,                0.74018,                0.90134,                0.67596,                 1.3755,             0.00028608,             0.00028608,             0.00028608
